2025-11-25T06:21:03Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T06:21:03Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T06:22:05Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T06:30:33Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T06:30:33Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T06:33:38Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T06:34:52Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T06:34:52Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T06:37:47Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T06:40:12Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T06:40:12Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T06:44:20Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T06:46:28Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T06:46:28Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T06:51:38Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T06:53:02Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T06:53:02Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T06:57:11Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T07:00:47Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T07:00:47Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T07:03:30Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T07:10:49Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T07:10:49Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
2025-11-25T07:14:31Z | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2025-11-25T07:21:37Z | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2025-11-25T07:21:37Z | INFO | httpx | HTTP Request: GET http://testserver/agents "HTTP/1.1 200 OK"
